ind	time	Y	Ytype
AG111	0.000000	25000.000000	T_LM1
AG111	1.000000	39333.333333	T_LM1
AG111	2.000000	77333.333333	T_LM1
AG111	3.000000	166666.666667	T_LM1
AG111	4.000000	266666.666667	T_LM1
AG111	0.000000	25000.000000	T_DM17
AG111	1.000000	61333.333333	T_DM17
AG111	2.000000	150666.666667	T_DM17
AG111	3.000000	260000.000000	T_DM17
AG111	4.000000	326666.666667	T_DM17
AG111	0.000000	0.000000	B_DM17
AG111	1.000000	10834.175084	B_DM17
AG111	2.000000	32019.607843	B_DM17
AG111	3.000000	116451.949135	B_DM17
AG111	4.000000	209079.365079	B_DM17
AG112	0.000000	25000.000000	T_LM1
AG112	1.000000	58666.666667	T_LM1
AG112	2.000000	114666.666667	T_LM1
AG112	3.000000	263333.333333	T_LM1
AG112	4.000000	460000.000000	T_LM1
AG112	0.000000	25000.000000	T_DM17
AG112	1.000000	72000.000000	T_DM17
AG112	2.000000	188000.000000	T_DM17
AG112	3.000000	443333.333333	T_DM17
AG112	4.000000	573333.333333	T_DM17
AG112	0.000000	0.000000	B_DM17
AG112	1.000000	6722.222222	B_DM17
AG112	2.000000	99405.723906	B_DM17
AG112	3.000000	319922.917237	B_DM17
AG112	4.000000	509750.699371	B_DM17
AG139	0.000000	25000.000000	T_LM1
AG139	1.000000	40000.000000	T_LM1
AG139	2.000000	100000.000000	T_LM1
AG139	3.000000	138000.000000	T_LM1
AG139	4.000000	220000.000000	T_LM1
AG139	0.000000	25000.000000	T_DM17
AG139	1.000000	56000.000000	T_DM17
AG139	2.000000	118000.000000	T_DM17
AG139	3.000000	310000.000000	T_DM17
AG139	4.000000	300000.000000	T_DM17
AG139	0.000000	0.000000	B_DM17
AG139	1.000000	19764.705882	B_DM17
AG139	2.000000	78666.666667	B_DM17
AG139	3.000000	228625.000000	B_DM17
AG139	4.000000	240000.000000	B_DM17
AG142	0.000000	25000.000000	T_LM1
AG142	1.000000	42000.000000	T_LM1
AG142	2.000000	116000.000000	T_LM1
AG142	3.000000	256000.000000	T_LM1
AG142	4.000000	520000.000000	T_LM1
AG142	0.000000	25000.000000	T_DM17
AG142	1.000000	94000.000000	T_DM17
AG142	2.000000	158000.000000	T_DM17
AG142	3.000000	356000.000000	T_DM17
AG142	4.000000	560000.000000	T_DM17
AG142	0.000000	0.000000	B_DM17
AG142	1.000000	36153.846154	B_DM17
AG142	2.000000	93179.487179	B_DM17
AG142	3.000000	267760.683761	B_DM17
AG142	4.000000	409552.238806	B_DM17
GD14	0.000000	25000.000000	T_LM1
GD14	1.000000	44000.000000	T_LM1
GD14	2.000000	72000.000000	T_LM1
GD14	3.000000	170000.000000	T_LM1
GD14	4.000000	324000.000000	T_LM1
GD14	0.000000	25000.000000	T_DM17
GD14	1.000000	36000.000000	T_DM17
GD14	2.000000	164000.000000	T_DM17
GD14	3.000000	336000.000000	T_DM17
GD14	4.000000	748000.000000	T_DM17
GD14	0.000000	0.000000	B_DM17
GD14	1.000000	13655.172414	B_DM17
GD14	2.000000	106600.000000	B_DM17
GD14	3.000000	257939.393939	B_DM17
GD14	4.000000	651666.666667	B_DM17
GD15	0.000000	25000.000000	T_LM1
GD15	1.000000	26000.000000	T_LM1
GD15	2.000000	102000.000000	T_LM1
GD15	3.000000	164000.000000	T_LM1
GD15	4.000000	280000.000000	T_LM1
GD15	0.000000	25000.000000	T_DM17
GD15	1.000000	38000.000000	T_DM17
GD15	2.000000	140000.000000	T_DM17
GD15	3.000000	174000.000000	T_DM17
GD15	4.000000	416000.000000	T_DM17
GD15	0.000000	0.000000	B_DM17
GD15	1.000000	13818.181818	B_DM17
GD15	2.000000	101111.111111	B_DM17
GD15	3.000000	118521.739130	B_DM17
GD15	4.000000	353600.000000	B_DM17
GD16	0.000000	25000.000000	T_LM1
GD16	1.000000	34000.000000	T_LM1
GD16	2.000000	26000.000000	T_LM1
GD16	3.000000	76000.000000	T_LM1
GD16	4.000000	130000.000000	T_LM1
GD16	0.000000	25000.000000	T_DM17
GD16	1.000000	42000.000000	T_DM17
GD16	2.000000	100000.000000	T_DM17
GD16	3.000000	158000.000000	T_DM17
GD16	4.000000	248000.000000	T_DM17
GD16	0.000000	0.000000	B_DM17
GD16	1.000000	19384.615385	B_DM17
GD16	2.000000	74285.714286	B_DM17
GD16	3.000000	115609.756098	B_DM17
GD16	4.000000	211529.411765	B_DM17
